639129,21a11752558fa7b126e58a2780c08e65,220792,4,2022-05-09
639133,21a11752558fa7b126e58a2780c08e65,202934,3,2022-02-25
639135,21a11752558fa7b126e58a2780c08e65,205303,4,2021-08-10
597057843,21a11752558fa7b126e58a2780c08e65,692,1,2022-05-09
599520360,21a11752558fa7b126e58a2780c08e65,6365,1,2021-06-08
601518271,21a11752558fa7b126e58a2780c08e65,115713,3,2022-05-09
602260590,21a11752558fa7b126e58a2780c08e65,135569,3,2021-10-18
603754429,21a11752558fa7b126e58a2780c08e65,8371,1,2021-05-05
604133057,21a11752558fa7b126e58a2780c08e65,95875,1,2021-11-26
669791950,21a11752558fa7b126e58a2780c08e65,109487,1,2022-02-08
681026460,21a11752558fa7b126e58a2780c08e65,6934,2,2022-05-09
681170484,21a11752558fa7b126e58a2780c08e65,206959,3,2022-05-09
691026044,0ab7e3efacd56983f16503572d2b9915,194006,2,2021-09-21
691028831,0ab7e3efacd56983f16503572d2b9915,176105,3,2022-05-09
691031812,0ab7e3efacd56983f16503572d2b9915,195165,4,2021-07-14
691051798,0ab7e3efacd56983f16503572d2b9915,71135,2,2022-05-09
691055116,0ab7e3efacd56983f16503572d2b9915,77795,4,2021-08-20
691059233,0ab7e3efacd56983f16503572d2b9915,103306,3,2022-05-09
691085218,0ab7e3efacd56983f16503572d2b9915,120807,1,2021-08-17
691240261,84dfd3f91dd85ea105bc74a4f0d7a067,692,3,2021-05-20
692028630,84dfd3f91dd85ea105bc74a4f0d7a067,194006,3,2022-05-09
692121066,84dfd3f91dd85ea105bc74a4f0d7a067,187531,2,2021-06-09
692209439,84dfd3f91dd85ea105bc74a4f0d7a067,1876,1,2022-05-09
692295399,84dfd3f91dd85ea105bc74a4f0d7a067,2571,2,2021-11-30
759127571,84dfd3f91dd85ea105bc74a4f0d7a067,191441,2,2022-05-10
759129928,84dfd3f91dd85ea105bc74a4f0d7a067,195165,2,2020-05-06
759132722,84dfd3f91dd85ea105bc74a4f0d7a067,183855,2,2022-05-10
759135729,84dfd3f91dd85ea105bc74a4f0d7a067,182823,2,2022-05-10
759139899,84dfd3f91dd85ea105bc74a4f0d7a067,218537,3,2021-06-25
759142259,84dfd3f91dd85ea105bc74a4f0d7a067,210861,3,2022-05-10
759144674,84dfd3f91dd85ea105bc74a4f0d7a067,208703,3,2021-06-08
759147060,84dfd3f91dd85ea105bc74a4f0d7a067,190555,3,2022-05-10
759165918,0ab7e3efacd56983f16503572d2b9915,191441,4,2022-05-10
759356539,0ab7e3efacd56983f16503572d2b9915,183855,2,2021-10-22
759361623,0ab7e3efacd56983f16503572d2b9915,182823,2,2021-03-08
759365205,0ab7e3efacd56983f16503572d2b9915,193952,3,2022-05-10
759367481,0ab7e3efacd56983f16503572d2b9915,200838,3,2022-05-10
759369686,0ab7e3efacd56983f16503572d2b9915,201749,3,2022-05-10
759372189,0ab7e3efacd56983f16503572d2b9915,191489,4,2022-01-14
759376696,0ab7e3efacd56983f16503572d2b9915,185989,3,2022-05-10
759383306,0ab7e3efacd56983f16503572d2b9915,109487,3,2022-05-10
759385744,0ab7e3efacd56983f16503572d2b9915,589,1,2022-05-10
